#name zcmb dz mb dmb
SN730113 0.8526 0.0 26.555 0.140
SN791310 0.1835 0.0 23.305 0.192
SN621212 0.6236 0.0 26.056 0.119
SN730509 0.1300 0.0 22.754 0.128
SN771112 0.3212 0.0 24.722 0.118
SN591131 0.1513 0.0 23.310 0.229
SN800132 0.2410 0.0 24.129 0.094
SN750324 0.2089 0.0 23.701 0.235
SN591013 0.1864 0.0 23.687 0.185
SN690406 0.1060 0.0 22.293 0.149
SN740233 0.0990 0.0 22.295 0.132
SN640225 0.1143 0.0 22.604 0.105
SN801125 0.2886 0.0 24.446 0.118
SN640530 0.0866 0.0 21.890 0.165
SN671317 0.1671 0.0 23.227 0.121
SN791334 0.1336 0.0 23.056 0.111
SN621326 0.1928 0.0 23.548 0.138
SN790122 0.0887 0.0 21.787 0.160
SN591324 1.3450 0.0 27.355 0.203
SN561020 0.4723 0.0 25.764 0.146
SN640806 0.6367 0.0 26.220 0.127
SN651318 0.6815 0.0 26.062 0.125
SN791107 0.7799 0.0 26.340 0.159
SN730214 0.4117 0.0 25.092 0.149
SN750603 0.3359 0.0 24.767 0.161
SN740525 0.4562 0.0 25.459 0.132
SN701201 0.0242 0.0 18.796 0.188
SN771119 0.9101 0.0 26.775 0.154
SN781134 0.0352 0.0 20.270 0.127
SN750305 0.0087 0.0 17.060 0.163
SN591310 0.0933 0.0 21.913 0.127
SN770628 0.0883 0.0 22.083 0.122
SN650721 0.2275 0.0 23.929 0.152
SN771328 1.0003 0.0 27.060 0.125
SN630713 0.3586 0.0 25.058 0.156
SN771314 0.1021 0.0 22.439 0.128
SN740625 0.0051 0.0 15.898 0.105
SN580309 1.0054 0.0 27.218 0.150
SN690415 0.2434 0.0 23.874 0.144
SN570319 0.6888 0.0 26.353 0.186
SN570101 0.0457 0.0 20.693 0.114
SN610412 0.3024 0.0 24.697 0.143
SN560720 0.1529 0.0 23.135 0.130
SN650818 0.8688 0.0 26.832 0.135
SN701205 0.3198 0.0 24.754 0.139
SN790923 0.0250 0.0 19.167 0.121
SN720730 0.0653 0.0 21.339 0.160
SN770509 0.2631 0.0 23.832 0.190
SN670612 0.2940 0.0 24.665 0.183
SN731217 1.2567 0.0 27.592 0.134
SN640905 0.1070 0.0 22.499 0.122
SN740917 0.0099 0.0 17.356 0.150
SN760727 0.3328 0.0 24.758 0.100
SN801223 0.7669 0.0 26.651 0.138
SN660910 0.0376 0.0 20.392 0.162
SN720608 0.5080 0.0 25.680 0.128
SN580533 0.0739 0.0 21.832 0.126
SN601021 1.2502 0.0 27.374 0.103
SN700832 0.9964 0.0 26.980 0.163
SN671012 0.1204 0.0 22.283 0.131
SN610407 0.3354 0.0 24.873 0.182
SN571304 0.5286 0.0 25.457 0.215
SN680509 0.1325 0.0 23.013 0.219
SN681312 0.0401 0.0 20.304 0.156
SN620327 0.4439 0.0 25.551 0.115
SN660825 0.4320 0.0 25.496 0.134
SN740533 0.0578 0.0 21.135 0.126
SN740707 0.2000 0.0 23.738 0.140
SN720331 0.1274 0.0 22.737 0.118
SN591105 0.1800 0.0 23.568 0.228
SN790511 0.0110 0.0 17.541 0.174
SN770217 0.3328 0.0 24.458 0.146
SN721030 0.1448 0.0 23.086 0.117
SN720708 0.0068 0.0 16.418 0.118
SN640108 0.0264 0.0 19.432 0.124
SN650332 0.8054 0.0 26.647 0.181
SN580207 0.0231 0.0 19.441 0.247
SN801313 0.2419 0.0 24.126 0.104
SN640334 0.0569 0.0 21.201 0.140
SN570921 0.1309 0.0 22.721 0.130
SN560112 0.0100 0.0 17.663 0.131
SN601212 0.0200 0.0 18.679 0.124
SN640129 0.5951 0.0 25.990 0.138
SN780920 0.4610 0.0 25.288 0.121
SN790233 0.1339 0.0 22.690 0.137
SN760723 0.0987 0.0 22.094 0.178
SN720414 0.0229 0.0 19.086 0.121
SN730923 0.2092 0.0 23.797 0.155
SN800715 0.0651 0.0 21.379 0.147
SN560709 0.4794 0.0 25.435 0.154
SN640503 0.2465 0.0 24.234 0.114
SN801229 0.0700 0.0 21.499 0.104
SN620416 0.2074 0.0 23.835 0.129
SN711008 0.1832 0.0 23.335 0.183
SN700102 0.9141 0.0 26.843 0.125
SN720327 0.0537 0.0 21.063 0.119
SN791202 0.6430 0.0 25.928 0.191
SN560233 0.3412 0.0 24.772 0.124
SN800625 0.1831 0.0 23.475 0.129
SN780203 0.1568 0.0 23.177 0.117
SN631207 0.4192 0.0 25.225 0.237
SN671109 0.4789 0.0 25.290 0.133
SN620317 0.9345 0.0 26.752 0.137
SN710905 0.1337 0.0 22.931 0.117
SN650510 0.1461 0.0 23.503 0.119
SN560905 0.2564 0.0 24.119 0.110
SN780409 0.0948 0.0 22.072 0.124
SN800722 0.0788 0.0 21.794 0.099
SN751202 0.2369 0.0 24.095 0.138
SN741031 0.5275 0.0 25.304 0.123
SN580313 0.5116 0.0 25.373 0.135
SN590701 1.0276 0.0 27.022 0.120
SN611206 0.2275 0.0 23.954 0.117
SN710632 0.1465 0.0 23.091 0.130
SN560229 0.0163 0.0 18.431 0.142
SN680830 0.4327 0.0 25.000 0.152
SN790718 0.0989 0.0 22.427 0.170
SN730516 0.3976 0.0 25.019 0.182
SN580311 0.5141 0.0 25.680 0.150
SN630129 0.1880 0.0 23.526 0.134
SN801014 0.2587 0.0 24.200 0.167
SN590319 0.1040 0.0 22.114 0.212
SN691227 0.8347 0.0 26.595 0.178
SN730615 0.3142 0.0 24.505 0.141
SN730727 0.2036 0.0 23.905 0.136
SN660629 0.1832 0.0 23.358 0.209
SN781317 0.8796 0.0 26.808 0.147
SN680428 0.0702 0.0 21.183 0.152
SN751027 0.1536 0.0 23.056 0.217
SN690211 0.1740 0.0 23.364 0.133
SN600907 0.4736 0.0 25.601 0.172
SN750319 0.1410 0.0 23.092 0.112
SN761034 1.0399 0.0 27.206 0.167
SN710730 0.6699 0.0 26.113 0.185
SN580709 0.1879 0.0 23.386 0.167
SN610233 0.3264 0.0 24.856 0.127
SN600918 0.0371 0.0 20.071 0.119
SN660219 0.1839 0.0 23.531 0.121
SN781121 0.0246 0.0 19.316 0.125
SN670508 0.1491 0.0 23.001 0.240
SN790427 0.3073 0.0 24.408 0.154
SN650817 0.0622 0.0 21.209 0.116
SN690206 0.3581 0.0 25.035 0.234
SN571323 0.5004 0.0 25.661 0.162
SN570518 0.3304 0.0 24.687 0.139
SN800430 0.7228 0.0 26.347 0.145
SN630113 0.6147 0.0 26.106 0.154
SN680818 0.0608 0.0 21.325 0.134
SN770931 0.3445 0.0 24.553 0.139
SN800209 0.0197 0.0 18.729 0.132
SN670203 0.1714 0.0 23.298 0.126
SN760915 0.1773 0.0 23.736 0.138
SN710729 0.3438 0.0 24.736 0.160
SN611215 0.1818 0.0 23.361 0.110
SN571108 0.3486 0.0 24.568 0.198
SN681322 0.1991 0.0 23.561 0.138
SN731324 0.0534 0.0 20.951 0.151
SN721130 0.0579 0.0 21.075 0.149
SN570314 0.0327 0.0 19.860 0.130
SN590225 0.6655 0.0 26.325 0.237
SN700620 0.2001 0.0 23.477 0.123
SN600930 0.2681 0.0 24.368 0.136
SN660132 0.0837 0.0 21.833 0.134
SN751127 0.0399 0.0 20.564 0.139
SN601225 0.1347 0.0 23.046 0.186
SN610434 0.1634 0.0 23.227 0.104
SN681316 0.2225 0.0 23.963 0.111
SN720220 0.1967 0.0 23.637 0.133
SN571207 0.5257 0.0 25.597 0.124
SN560315 0.0620 0.0 21.264 0.129
SN780520 0.1659 0.0 23.224 0.167
SN661023 0.2833 0.0 24.367 0.138
SN711125 0.5508 0.0 25.824 0.150
SN650601 0.6862 0.0 26.380 0.161
SN730828 0.1006 0.0 22.401 0.129
SN711029 0.3271 0.0 24.768 0.117
SN621128 0.1063 0.0 22.351 0.127
SN710803 0.0779 0.0 21.844 0.156
SN760717 0.1347 0.0 23.002 0.122
SN730523 0.3409 0.0 24.738 0.138
SN721104 0.1149 0.0 22.546 0.164
SN660803 1.1370 0.0 27.234 0.216
SN640403 0.0526 0.0 20.566 0.147
SN690629 0.2592 0.0 24.266 0.124
SN650818 0.6530 0.0 26.123 0.162
SN731019 0.1066 0.0 22.217 0.136
SN780427 0.2219 0.0 23.957 0.092
SN681023 0.7211 0.0 26.341 0.101
SN651012 0.1493 0.0 22.958 0.226
SN800918 1.2950 0.0 27.285 0.146
SN660713 0.3145 0.0 24.831 0.153
SN791112 0.3471 0.0 24.765 0.133
SN650927 1.0101 0.0 26.738 0.171
SN600118 0.0177 0.0 18.500 0.190
SN650704 0.3277 0.0 24.899 0.175
SN680625 0.0211 0.0 18.914 0.139
SN730530 0.2708 0.0 24.397 0.112
SN640407 0.9321 0.0 26.742 0.455
SN650112 1.0961 0.0 27.369 0.137
SN720402 0.2371 0.0 23.957 0.162
SN701301 1.3508 0.0 27.877 0.159
SN800120 0.0978 0.0 22.019 0.126
SN631301 0.5420 0.0 25.879 0.128
SN620934 0.3562 0.0 25.098 0.136
SN570120 0.0283 0.0 19.756 0.173
SN790430 0.0188 0.0 18.690 0.115
SN800604 0.4556 0.0 25.308 0.165
SN670806 0.3234 0.0 24.706 0.141
SN650205 0.1108 0.0 22.606 0.175
SN691203 0.0031 0.0 14.820 0.128
SN581117 0.6799 0.0 25.764 0.177
SN650724 0.6581 0.0 26.182 0.106
SN710422 0.1182 0.0 22.798 0.133
SN760718 0.2133 0.0 24.167 0.161
SN751323 0.3991 0.0 24.890 0.150
SN621019 0.1969 0.0 23.842 0.138
SN750115 0.0994 0.0 22.060 0.161
SN571317 0.2867 0.0 24.607 0.176
SN761107 0.0072 0.0 16.612 0.123
SN620613 0.3544 0.0 25.034 0.158
SN590134 0.0791 0.0 21.863 0.125
SN750804 0.5324 0.0 25.691 0.201
SN710117 0.0730 0.0 21.549 0.126
SN700823 0.2181 0.0 23.911 0.106
SN790110 0.1148 0.0 22.767 0.166
SN570907 0.0997 0.0 22.203 0.218
SN750618 0.0839 0.0 21.865 0.167
SN680601 0.0070 0.0 16.610 0.158
SN610922 0.0635 0.0 21.291 0.203
SN631231 0.2963 0.0 24.461 0.132
SN781103 1.3152 0.0 27.567 0.111
SN650305 0.5711 0.0 25.927 0.128
SN581108 0.5321 0.0 25.409 0.143
SN661307 0.1030 0.0 22.308 0.122
SN710622 1.1047 0.0 27.308 0.144
SN781206 0.0594 0.0 21.037 0.165
SN710110 1.8142 0.0 28.165 0.157
SN760701 0.3858 0.0 24.847 0.150
SN711103 0.0554 0.0 21.301 0.177
SN560526 0.0342 0.0 20.030 0.138
SN650616 0.0109 0.0 17.637 0.269
SN780315 0.1374 0.0 22.721 0.148
SN571321 0.3442 0.0 24.623 0.123
SN780804 0.1564 0.0 23.183 0.119
SN790210 0.5346 0.0 25.622 0.142
SN761305 0.0760 0.0 21.797 0.155
SN620811 0.0514 0.0 20.919 0.160
SN781209 0.0227 0.0 19.077 0.137
SN791205 0.6154 0.0 26.168 0.119
SN650929 0.0007 0.0 11.697 0.128
SN650208 1.6567 0.0 27.951 0.112
SN610202 0.4562 0.0 25.538 0.141
SN790106 0.1320 0.0 22.909 0.165
SN600733 0.9398 0.0 27.093 0.198
SN761009 0.0662 0.0 21.328 0.103
SN780807 0.2276 0.0 24.280 0.171
SN711320 0.1351 0.0 23.062 0.143
SN741334 1.2923 0.0 27.351 0.108
SN801324 0.1101 0.0 22.428 0.188
SN700508 0.6752 0.0 26.102 0.155
SN640417 0.0588 0.0 20.990 0.196
SN740930 0.6258 0.0 26.208 0.170
SN590623 0.4575 0.0 25.778 0.136
SN660104 0.6199 0.0 25.995 0.128
SN721330 0.2333 0.0 23.950 0.113
SN571323 0.5887 0.0 25.661 0.178
SN780710 0.0473 0.0 20.939 0.161
SN720832 0.1321 0.0 22.923 0.123
SN630829 0.1085 0.0 22.576 0.133
SN721015 0.2460 0.0 23.658 0.160
SN760804 0.6137 0.0 25.714 0.223
SN610412 0.0252 0.0 19.065 0.124
SN570908 0.5406 0.0 25.757 0.106
SN710927 0.1348 0.0 22.898 0.096
SN621213 1.4589 0.0 27.629 0.115
SN670503 0.3623 0.0 24.725 0.148
SN560305 0.3448 0.0 24.554 0.127
SN741217 0.2199 0.0 24.033 0.126
SN641110 0.3916 0.0 25.152 0.136
SN700806 0.1503 0.0 23.093 0.167
SN571320 0.0368 0.0 20.061 0.157
SN590418 0.5563 0.0 25.766 0.139
SN761115 0.1667 0.0 23.244 0.107
SN660917 0.1687 0.0 23.160 0.125
SN671001 0.7209 0.0 26.165 0.152
SN750701 0.2107 0.0 23.975 0.138
SN560711 0.4957 0.0 25.399 0.228
SN580119 0.0909 0.0 22.114 0.137
SN630724 0.6047 0.0 25.823 0.132
SN720818 0.7818 0.0 26.428 0.132
SN710523 0.6418 0.0 26.152 0.136
SN721103 0.3184 0.0 24.777 0.097
SN660506 0.0046 0.0 15.666 0.116
SN681113 0.0049 0.0 15.785 0.108
SN611122 0.2911 0.0 24.271 0.134
SN711308 1.0693 0.0 27.067 0.153
SN780616 1.3335 0.0 27.529 0.150
SN791321 0.1193 0.0 22.426 0.161
SN560402 0.1725 0.0 23.189 0.134
SN580807 0.1418 0.0 22.907 0.096
SN580833 0.4157 0.0 25.349 0.134
SN701033 0.8162 0.0 26.554 0.155
SN560722 0.2934 0.0 24.787 0.145
SN571133 0.2576 0.0 24.100 0.129
SN771228 0.0752 0.0 21.732 0.128
SN590626 0.0679 0.0 21.418 0.162
SN661327 0.0866 0.0 21.627 0.163
SN801306 0.0174 0.0 18.707 0.144
SN620402 0.6146 0.0 25.942 0.118
SN740827 0.4206 0.0 25.257 0.138
SN750826 0.0172 0.0 18.522 0.147
SN791022 0.2333 0.0 23.508 0.259
SN570734 0.4838 0.0 25.322 0.121
SN641005 0.2105 0.0 23.564 0.157
SN640312 0.1576 0.0 23.081 0.136
SN780824 0.3803 0.0 24.756 0.187
SN630932 0.0121 0.0 17.514 0.236
SN580510 0.5485 0.0 25.648 0.138
SN740413 1.2981 0.0 27.347 0.186
SN660319 0.3343 0.0 24.629 0.101
SN780717 0.0103 0.0 17.208 0.186
SN751033 0.2214 0.0 23.827 0.111
SN580113 0.0414 0.0 20.523 0.135
SN610132 0.0934 0.0 22.008 0.115
SN600914 0.1169 0.0 22.671 0.163
SN790207 0.2521 0.0 24.697 0.157
SN660110 0.7272 0.0 26.299 0.144
SN560621 0.8795 0.0 26.613 0.129
SN691102 0.4255 0.0 25.577 0.166
SN600613 0.6045 0.0 26.011 0.153
SN750406 0.3233 0.0 24.619 0.109
SN700401 0.5259 0.0 25.712 0.161
SN781015 0.7740 0.0 26.195 0.196
SN750430 0.3478 0.0 24.673 0.129
SN701311 0.5829 0.0 25.879 0.139
SN621018 0.1391 0.0 23.154 0.182
SN711313 0.0199 0.0 18.416 0.252
SN720721 0.4294 0.0 25.036 0.164
SN640227 0.7043 0.0 26.199 0.175
